video,beat_index,start_s,end_s,duration_s,duration_frames,image
16040.mp4,54,146.947,148.748,1.801,54.0,analysis/frames/16040/16040_beat_0054.png
16040.mp4,55,148.749,153.319,4.57,137.0,analysis/frames/16040/16040_beat_0055.png
16040.mp4,56,153.32,159.058,5.738,172.0,analysis/frames/16040/16040_beat_0056.png
16040.mp4,57,159.059,163.596,4.537,136.0,analysis/frames/16040/16040_beat_0057.png
16040.mp4,58,163.597,167.266,3.669,110.0,analysis/frames/16040/16040_beat_0058.png
16040.mp4,59,167.267,169.502,2.235,67.0,analysis/frames/16040/16040_beat_0059.png
16040.mp4,60,169.503,174.707,5.204,156.0,analysis/frames/16040/16040_beat_0060.png
16040.mp4,61,174.708,177.576,2.869,86.0,analysis/frames/16040/16040_beat_0061.png
16040.mp4,62,177.577,182.948,5.371,161.0,analysis/frames/16040/16040_beat_0062.png
16040.mp4,63,182.949,185.051,2.101,63.0,analysis/frames/16040/16040_beat_0063.png
16040.mp4,64,185.052,188.487,3.436,103.0,analysis/frames/16040/16040_beat_0064.png
16040.mp4,65,188.488,191.09,2.602,78.0,analysis/frames/16040/16040_beat_0065.png
16040.mp4,66,191.091,195.528,4.437,133.0,analysis/frames/16040/16040_beat_0066.png
16040.mp4,67,195.529,197.496,1.968,59.0,analysis/frames/16040/16040_beat_0067.png
16040.mp4,68,197.497,202.601,5.104,153.0,analysis/frames/16040/16040_beat_0068.png
16040.mp4,69,202.602,203.469,0.867,26.0,analysis/frames/16040/16040_beat_0069.png
16040.mp4,70,203.47,204.804,1.334,40.0,analysis/frames/16040/16040_beat_0070.png
16040.mp4,71,204.805,207.073,2.268,68.0,analysis/frames/16040/16040_beat_0071.png
16040.mp4,72,207.074,215.081,8.007,240.0,analysis/frames/16040/16040_beat_0072.png
16040.mp4,73,215.082,216.382,1.3,39.0,analysis/frames/16040/16040_beat_0073.png
16040.mp4,74,216.383,218.984,2.602,78.0,analysis/frames/16040/16040_beat_0074.png
16040.mp4,75,218.985,223.956,4.971,149.0,analysis/frames/16040/16040_beat_0075.png
16040.mp4,76,223.957,227.693,3.736,112.0,analysis/frames/16040/16040_beat_0076.png
16040.mp4,77,227.694,229.762,2.068,62.0,analysis/frames/16040/16040_beat_0077.png
16040.mp4,78,229.763,232.765,3.002,90.0,analysis/frames/16040/16040_beat_0078.png
16040.mp4,79,232.766,235.568,2.802,84.0,analysis/frames/16040/16040_beat_0079.png
16040.mp4,80,235.569,240.739,5.171,155.0,analysis/frames/16040/16040_beat_0080.png
16040.mp4,81,240.74,243.843,3.102,93.0,analysis/frames/16040/16040_beat_0081.png
16040.mp4,82,243.844,249.148,5.304,159.0,analysis/frames/16040/16040_beat_0082.png
16040.mp4,83,249.149,255.421,6.272,188.0,analysis/frames/16040/16040_beat_0083.png
16040.mp4,84,255.422,257.289,1.868,56.0,analysis/frames/16040/16040_beat_0084.png
16040.mp4,85,257.29,260.926,3.636,109.0,analysis/frames/16040/16040_beat_0085.png
16040.mp4,86,260.927,268.2,7.273,218.0,analysis/frames/16040/16040_beat_0086.png
16040.mp4,87,268.201,269.802,1.601,48.0,analysis/frames/16040/16040_beat_0087.png
16040.mp4,88,269.803,270.669,0.867,26.0,analysis/frames/16040/16040_beat_0088.png
16040.mp4,89,270.67,271.637,0.967,29.0,analysis/frames/16040/16040_beat_0089.png
16040.mp4,90,271.638,275.107,3.469,104.0,analysis/frames/16040/16040_beat_0090.png
16040.mp4,91,275.108,277.109,2.001,60.0,analysis/frames/16040/16040_beat_0091.png
16040.mp4,92,277.11,278.577,1.467,44.0,analysis/frames/16040/16040_beat_0092.png
16040.mp4,93,278.578,281.614,3.035,91.0,analysis/frames/16040/16040_beat_0093.png
16040.mp4,94,281.615,283.082,1.467,44.0,analysis/frames/16040/16040_beat_0094.png
16040.mp4,95,283.083,284.383,1.3,39.0,analysis/frames/16040/16040_beat_0095.png
16040.mp4,96,284.384,285.885,1.501,45.0,analysis/frames/16040/16040_beat_0096.png
16040.mp4,97,285.886,286.886,1.0,30.0,analysis/frames/16040/16040_beat_0097.png
16040.mp4,98,286.887,288.621,1.734,52.0,analysis/frames/16040/16040_beat_0098.png
16040.mp4,99,288.622,293.626,5.004,150.0,analysis/frames/16040/16040_beat_0099.png
16040.mp4,100,293.627,295.427,1.801,54.0,analysis/frames/16040/16040_beat_0100.png
16040.mp4,101,295.428,297.596,2.168,65.0,analysis/frames/16040/16040_beat_0101.png
16040.mp4,102,297.597,302.101,4.504,135.0,analysis/frames/16040/16040_beat_0102.png
16040.mp4,103,302.102,305.171,3.069,92.0,analysis/frames/16040/16040_beat_0103.png
16040.mp4,104,305.172,306.839,1.667,50.0,analysis/frames/16040/16040_beat_0104.png
16040.mp4,105,306.84,308.741,1.901,57.0,analysis/frames/16040/16040_beat_0105.png
16040.mp4,106,308.742,311.076,2.335,70.0,analysis/frames/16040/16040_beat_0106.png
16040.mp4,107,311.077,313.612,2.535,76.0,analysis/frames/16040/16040_beat_0107.png
16040.mp4,108,313.613,316.882,3.269,98.0,analysis/frames/16040/16040_beat_0108.png
16040.mp4,109,316.883,322.154,5.271,158.0,analysis/frames/16040/16040_beat_0109.png
16040.mp4,110,322.155,324.79,2.635,79.0,analysis/frames/16040/16040_beat_0110.png
16040.mp4,111,324.791,326.025,1.234,37.0,analysis/frames/16040/16040_beat_0111.png
16040.mp4,112,326.026,330.462,4.437,133.0,analysis/frames/16040/16040_beat_0112.png
16040.mp4,113,330.463,331.33,0.867,26.0,analysis/frames/16040/16040_beat_0113.png
16040.mp4,114,331.331,333.132,1.801,54.0,analysis/frames/16040/16040_beat_0114.png
16040.mp4,115,333.133,337.236,4.103,123.0,analysis/frames/16040/16040_beat_0115.png
16040.mp4,116,337.237,339.138,1.901,57.0,analysis/frames/16040/16040_beat_0116.png
16040.mp4,117,339.139,342.541,3.402,102.0,analysis/frames/16040/16040_beat_0117.png
16040.mp4,118,342.542,345.244,2.702,81.0,analysis/frames/16040/16040_beat_0118.png
16040.mp4,119,345.245,346.612,1.367,41.0,analysis/frames/16040/16040_beat_0119.png
16040.mp4,120,346.613,348.848,2.235,67.0,analysis/frames/16040/16040_beat_0120.png
16040.mp4,121,348.849,350.583,1.734,52.0,analysis/frames/16040/16040_beat_0121.png
16040.mp4,122,350.584,352.117,1.534,46.0,analysis/frames/16040/16040_beat_0122.png
16040.mp4,123,352.118,353.586,1.467,44.0,analysis/frames/16040/16040_beat_0123.png
16040.mp4,124,353.587,355.187,1.601,48.0,analysis/frames/16040/16040_beat_0124.png
16040.mp4,125,355.188,356.722,1.534,46.0,analysis/frames/16040/16040_beat_0125.png
16040.mp4,126,356.723,358.157,1.434,43.0,analysis/frames/16040/16040_beat_0126.png
16040.mp4,127,358.158,359.625,1.467,44.0,analysis/frames/16040/16040_beat_0127.png
16040.mp4,128,359.626,361.393,1.767,53.0,analysis/frames/16040/16040_beat_0128.png
16040.mp4,129,361.394,363.195,1.801,54.0,analysis/frames/16040/16040_beat_0129.png
16040.mp4,130,363.196,365.431,2.235,67.0,analysis/frames/16040/16040_beat_0130.png
16040.mp4,131,365.432,367.733,2.301,69.0,analysis/frames/16040/16040_beat_0131.png
16040.mp4,132,367.734,369.668,1.934,58.0,analysis/frames/16040/16040_beat_0132.png
16040.mp4,133,369.669,372.071,2.401,72.0,analysis/frames/16040/16040_beat_0133.png
16040.mp4,134,372.072,374.974,2.902,87.0,analysis/frames/16040/16040_beat_0134.png
16040.mp4,135,374.975,376.809,1.834,55.0,analysis/frames/16040/16040_beat_0135.png
16040.mp4,136,376.81,380.579,3.769,113.0,analysis/frames/16040/16040_beat_0136.png
16040.mp4,137,380.58,383.482,2.902,87.0,analysis/frames/16040/16040_beat_0137.png
16040.mp4,138,383.483,388.888,5.404,162.0,analysis/frames/16040/16040_beat_0138.png
16040.mp4,139,388.889,390.623,1.734,52.0,analysis/frames/16040/16040_beat_0139.png
16040.mp4,140,390.624,391.39,0.766,23.0,analysis/frames/16040/16040_beat_0140.png
16040.mp4,141,391.391,392.458,1.067,32.0,analysis/frames/16040/16040_beat_0141.png
16040.mp4,142,392.459,395.928,3.469,104.0,analysis/frames/16040/16040_beat_0142.png
16040.mp4,143,395.929,399.231,3.302,99.0,analysis/frames/16040/16040_beat_0143.png
16040.mp4,144,399.232,400.566,1.334,40.0,analysis/frames/16040/16040_beat_0144.png
16040.mp4,145,400.567,404.637,4.07,122.0,analysis/frames/16040/16040_beat_0145.png
16040.mp4,146,404.638,407.039,2.401,72.0,analysis/frames/16040/16040_beat_0146.png
16040.mp4,147,407.04,409.074,2.034,61.0,analysis/frames/16040/16040_beat_0147.png
16040.mp4,148,409.075,412.578,3.502,105.0,analysis/frames/16040/16040_beat_0148.png
16040.mp4,149,412.579,414.046,1.467,44.0,analysis/frames/16040/16040_beat_0149.png
16040.mp4,150,414.047,414.98,0.933,28.0,analysis/frames/16040/16040_beat_0150.png
16040.mp4,151,414.981,417.349,2.368,71.0,analysis/frames/16040/16040_beat_0151.png
16040.mp4,152,417.35,421.253,3.903,117.0,analysis/frames/16040/16040_beat_0152.png
16040.mp4,153,421.254,424.59,3.336,100.0,analysis/frames/16040/16040_beat_0153.png
16040.mp4,154,424.591,425.291,0.7,21.0,analysis/frames/16040/16040_beat_0154.png
16040.mp4,155,425.292,429.361,4.07,122.0,analysis/frames/16040/16040_beat_0155.png
16040.mp4,156,429.362,432.498,3.135,94.0,analysis/frames/16040/16040_beat_0156.png
16040.mp4,157,432.499,434.767,2.268,68.0,analysis/frames/16040/16040_beat_0157.png
16040.mp4,158,434.768,438.003,3.236,97.0,analysis/frames/16040/16040_beat_0158.png
16040.mp4,159,438.004,441.14,3.135,94.0,analysis/frames/16040/16040_beat_0159.png
16040.mp4,160,441.141,442.374,1.234,37.0,analysis/frames/16040/16040_beat_0160.png
16040.mp4,161,442.375,444.576,2.201,66.0,analysis/frames/16040/16040_beat_0161.png
16040.mp4,162,444.577,448.28,3.703,111.0,analysis/frames/16040/16040_beat_0162.png
16040.mp4,163,448.281,451.517,3.236,97.0,analysis/frames/16040/16040_beat_0163.png
16040.mp4,164,451.518,457.156,5.638,169.0,analysis/frames/16040/16040_beat_0164.png
16040.mp4,165,457.157,459.291,2.134,64.0,analysis/frames/16040/16040_beat_0165.png
16040.mp4,166,459.292,459.992,0.7,21.0,analysis/frames/16040/16040_beat_0166.png
16040.mp4,167,459.993,461.26,1.267,38.0,analysis/frames/16040/16040_beat_0167.png
16040.mp4,168,461.261,463.462,2.201,66.0,analysis/frames/16040/16040_beat_0168.png
16040.mp4,169,463.463,467.666,4.203,126.0,analysis/frames/16040/16040_beat_0169.png
16040.mp4,170,467.667,471.603,3.936,118.0,analysis/frames/16040/16040_beat_0170.png
16040.mp4,171,471.604,477.676,6.072,182.0,analysis/frames/16040/16040_beat_0171.png
16040.mp4,172,477.677,479.578,1.901,57.0,analysis/frames/16040/16040_beat_0172.png
16040.mp4,173,479.579,481.513,1.934,58.0,analysis/frames/16040/16040_beat_0173.png
16040.mp4,174,481.514,485.15,3.636,109.0,analysis/frames/16040/16040_beat_0174.png
16040.mp4,175,485.151,487.052,1.901,57.0,analysis/frames/16040/16040_beat_0175.png
16040.mp4,176,487.053,489.021,1.968,59.0,analysis/frames/16040/16040_beat_0176.png
16040.mp4,177,489.022,489.621,0.6,18.0,analysis/frames/16040/16040_beat_0177.png
16040.mp4,178,489.622,492.057,2.435,73.0,analysis/frames/16040/16040_beat_0178.png
16040.mp4,179,492.058,493.425,1.367,41.0,analysis/frames/16040/16040_beat_0179.png
16040.mp4,180,493.426,495.694,2.268,68.0,analysis/frames/16040/16040_beat_0180.png
16040.mp4,181,495.695,497.363,1.667,50.0,analysis/frames/16040/16040_beat_0181.png
16040.mp4,182,497.364,501.667,4.303,129.0,analysis/frames/16040/16040_beat_0182.png
16040.mp4,183,501.668,504.002,2.335,70.0,analysis/frames/16040/16040_beat_0183.png
16040.mp4,184,504.003,508.974,4.971,149.0,analysis/frames/16040/16040_beat_0184.png
16040.mp4,185,508.975,511.043,2.068,62.0,analysis/frames/16040/16040_beat_0185.png
16040.mp4,186,511.044,515.347,4.303,129.0,analysis/frames/16040/16040_beat_0186.png
16040.mp4,187,515.348,518.717,3.369,101.0,analysis/frames/16040/16040_beat_0187.png
16040.mp4,188,518.718,522.688,3.97,119.0,analysis/frames/16040/16040_beat_0188.png
16040.mp4,189,522.689,523.422,0.733,22.0,analysis/frames/16040/16040_beat_0189.png
16040.mp4,190,523.423,524.39,0.967,29.0,analysis/frames/16040/16040_beat_0190.png
16040.mp4,191,524.391,526.091,1.701,51.0,analysis/frames/16040/16040_beat_0191.png
16040.mp4,192,526.092,527.393,1.3,39.0,analysis/frames/16040/16040_beat_0192.png
16040.mp4,193,527.394,529.495,2.101,63.0,analysis/frames/16040/16040_beat_0193.png
16040.mp4,194,529.496,535.034,5.538,166.0,analysis/frames/16040/16040_beat_0194.png
16040.mp4,195,535.034,543.075,8.04,241.0,analysis/frames/16040/16040_beat_0195.png
16040.mp4,196,543.076,544.676,1.601,48.0,analysis/frames/16040/16040_beat_0196.png
16040.mp4,197,544.677,546.979,2.301,69.0,analysis/frames/16040/16040_beat_0197.png
16040.mp4,198,546.98,553.619,6.639,199.0,analysis/frames/16040/16040_beat_0198.png
16040.mp4,199,553.62,557.022,3.402,102.0,analysis/frames/16040/16040_beat_0199.png
16040.mp4,200,557.023,560.559,3.536,106.0,analysis/frames/16040/16040_beat_0200.png
16040.mp4,201,560.56,563.295,2.735,82.0,analysis/frames/16040/16040_beat_0201.png
16040.mp4,202,563.296,566.632,3.336,100.0,analysis/frames/16040/16040_beat_0202.png
16040.mp4,203,566.633,569.768,3.135,94.0,analysis/frames/16040/16040_beat_0203.png
16040.mp4,204,569.769,575.207,5.438,163.0,analysis/frames/16040/16040_beat_0204.png
16040.mp4,205,575.208,578.21,3.002,90.0,analysis/frames/16040/16040_beat_0205.png
16040.mp4,206,578.211,579.278,1.067,32.0,analysis/frames/16040/16040_beat_0206.png
16040.mp4,207,579.279,581.213,1.934,58.0,analysis/frames/16040/16040_beat_0207.png
16040.mp4,208,581.214,586.552,5.338,160.0,analysis/frames/16040/16040_beat_0208.png
16040.mp4,209,586.553,589.555,3.002,90.0,analysis/frames/16040/16040_beat_0209.png
16040.mp4,210,589.556,591.09,1.534,46.0,analysis/frames/16040/16040_beat_0210.png
16040.mp4,211,591.091,591.824,0.733,22.0,analysis/frames/16040/16040_beat_0211.png
16040.mp4,212,591.825,592.758,0.933,28.0,analysis/frames/16040/16040_beat_0212.png
16040.mp4,213,592.759,595.127,2.368,71.0,analysis/frames/16040/16040_beat_0213.png
16040.mp4,214,595.128,600.165,5.037,151.0,analysis/frames/16040/16040_beat_0214.png
16040.mp4,215,600.166,602.234,2.068,62.0,analysis/frames/16040/16040_beat_0215.png
16040.mp4,216,602.235,603.135,0.9,27.0,analysis/frames/16040/16040_beat_0216.png
16040.mp4,217,603.136,605.07,1.934,58.0,analysis/frames/16040/16040_beat_0217.png
16040.mp4,218,605.071,607.973,2.902,87.0,analysis/frames/16040/16040_beat_0218.png
16040.mp4,219,607.974,610.442,2.468,74.0,analysis/frames/16040/16040_beat_0219.png
16040.mp4,220,610.443,612.978,2.535,76.0,analysis/frames/16040/16040_beat_0220.png
16040.mp4,221,612.979,616.748,3.769,113.0,analysis/frames/16040/16040_beat_0221.png
16040.mp4,222,616.749,618.984,2.235,67.0,analysis/frames/16040/16040_beat_0222.png
16040.mp4,223,618.985,620.819,1.834,55.0,analysis/frames/16040/16040_beat_0223.png
16040.mp4,224,620.82,623.388,2.568,77.0,analysis/frames/16040/16040_beat_0224.png
16040.mp4,225,623.389,624.623,1.234,37.0,analysis/frames/16040/16040_beat_0225.png
16040.mp4,226,624.624,628.46,3.836,115.0,analysis/frames/16040/16040_beat_0226.png
16040.mp4,227,628.461,634.867,6.405,192.0,analysis/frames/16040/16040_beat_0227.png
16040.mp4,228,634.868,636.869,2.001,60.0,analysis/frames/16040/16040_beat_0228.png
16040.mp4,229,636.87,639.571,2.702,81.0,analysis/frames/16040/16040_beat_0229.png
16040.mp4,230,639.572,642.374,2.802,84.0,analysis/frames/16040/16040_beat_0230.png
16040.mp4,231,642.375,646.545,4.17,125.0,analysis/frames/16040/16040_beat_0231.png
16040.mp4,232,646.546,649.615,3.069,92.0,analysis/frames/16040/16040_beat_0232.png
16040.mp4,233,649.616,652.417,2.802,84.0,analysis/frames/16040/16040_beat_0233.png
16040.mp4,234,652.418,653.986,1.567,47.0,analysis/frames/16040/16040_beat_0234.png
16040.mp4,235,653.987,657.456,3.469,104.0,analysis/frames/16040/16040_beat_0235.png
16040.mp4,236,657.457,659.391,1.934,58.0,analysis/frames/16040/16040_beat_0236.png
16040.mp4,237,659.392,661.994,2.602,78.0,analysis/frames/16040/16040_beat_0237.png
16040.mp4,238,661.995,672.08,10.085,302.3,analysis/frames/16040/16040_beat_0238.png
16044.mp4,0,0.0,1.767,1.767,53.0,analysis/frames/16044/16044_beat_0000.png
16044.mp4,1,1.768,4.904,3.135,94.0,analysis/frames/16044/16044_beat_0001.png
16044.mp4,2,4.905,9.208,4.303,129.0,analysis/frames/16044/16044_beat_0002.png
16044.mp4,3,9.209,13.913,4.704,141.0,analysis/frames/16044/16044_beat_0003.png
16044.mp4,4,13.914,20.92,7.006,210.0,analysis/frames/16044/16044_beat_0004.png
16044.mp4,5,20.921,24.657,3.736,112.0,analysis/frames/16044/16044_beat_0005.png
16044.mp4,6,24.658,32.798,8.14,244.0,analysis/frames/16044/16044_beat_0006.png
16044.mp4,7,32.799,35.635,2.835,85.0,analysis/frames/16044/16044_beat_0007.png
16044.mp4,8,35.636,42.208,6.572,197.0,analysis/frames/16044/16044_beat_0008.png
16044.mp4,9,42.209,45.278,3.069,92.0,analysis/frames/16044/16044_beat_0009.png
16044.mp4,10,45.279,47.847,2.568,77.0,analysis/frames/16044/16044_beat_0010.png
16044.mp4,11,47.848,50.983,3.135,94.0,analysis/frames/16044/16044_beat_0011.png
16044.mp4,12,50.984,54.654,3.669,110.0,analysis/frames/16044/16044_beat_0012.png
16044.mp4,13,54.655,61.093,6.439,193.0,analysis/frames/16044/16044_beat_0013.png
16044.mp4,14,61.094,68.567,7.473,224.0,analysis/frames/16044/16044_beat_0014.png
16044.mp4,15,68.569,72.605,4.036,121.0,analysis/frames/16044/16044_beat_0015.png
16044.mp4,16,72.606,76.742,4.136,124.0,analysis/frames/16044/16044_beat_0016.png
16044.mp4,17,76.743,82.081,5.338,160.0,analysis/frames/16044/16044_beat_0017.png
16044.mp4,18,82.082,82.815,0.733,22.0,analysis/frames/16044/16044_beat_0018.png
16044.mp4,19,82.816,85.751,2.935,88.0,analysis/frames/16044/16044_beat_0019.png
16044.mp4,20,85.752,94.36,8.608,258.0,analysis/frames/16044/16044_beat_0020.png
16044.mp4,21,94.361,99.498,5.137,154.0,analysis/frames/16044/16044_beat_0021.png
16044.mp4,22,99.499,104.437,4.937,148.0,analysis/frames/16044/16044_beat_0022.png
16044.mp4,23,104.438,111.577,7.139,214.0,analysis/frames/16044/16044_beat_0023.png
16044.mp4,24,111.578,114.447,2.869,86.0,analysis/frames/16044/16044_beat_0024.png
16044.mp4,25,114.448,116.182,1.734,52.0,analysis/frames/16044/16044_beat_0025.png
16044.mp4,26,116.183,119.585,3.402,102.0,analysis/frames/16044/16044_beat_0026.png
16044.mp4,27,119.586,124.39,4.804,144.0,analysis/frames/16044/16044_beat_0027.png
16044.mp4,28,124.391,128.16,3.769,113.0,analysis/frames/16044/16044_beat_0028.png
16044.mp4,29,128.161,132.932,4.77,143.0,analysis/frames/16044/16044_beat_0029.png
16044.mp4,30,132.933,137.036,4.103,123.0,analysis/frames/16044/16044_beat_0030.png
16044.mp4,31,137.037,142.241,5.204,156.0,analysis/frames/16044/16044_beat_0031.png
16044.mp4,32,142.242,145.077,2.835,85.0,analysis/frames/16044/16044_beat_0032.png
16044.mp4,33,145.078,146.479,1.4,42.0,analysis/frames/16044/16044_beat_0033.png
16044.mp4,34,146.48,148.18,1.701,51.0,analysis/frames/16044/16044_beat_0034.png
16044.mp4,35,148.181,152.685,4.504,135.0,analysis/frames/16044/16044_beat_0035.png
16044.mp4,36,152.686,159.458,6.772,203.0,analysis/frames/16044/16044_beat_0036.png
16044.mp4,37,159.459,160.159,0.7,21.0,analysis/frames/16044/16044_beat_0037.png
16044.mp4,38,160.16,162.395,2.235,67.0,analysis/frames/16044/16044_beat_0038.png
16044.mp4,39,162.396,165.064,2.668,80.0,analysis/frames/16044/16044_beat_0039.png
16044.mp4,40,165.065,171.303,6.239,187.0,analysis/frames/16044/16044_beat_0040.png
16044.mp4,41,171.304,176.242,4.937,148.0,analysis/frames/16044/16044_beat_0041.png
16044.mp4,42,176.243,183.649,7.406,222.0,analysis/frames/16044/16044_beat_0042.png
16044.mp4,43,183.65,188.988,5.338,160.0,analysis/frames/16044/16044_beat_0043.png
16044.mp4,44,188.989,190.656,1.667,50.0,analysis/frames/16044/16044_beat_0044.png
16044.mp4,45,190.657,193.592,2.935,88.0,analysis/frames/16044/16044_beat_0045.png
16044.mp4,46,193.593,196.495,2.902,87.0,analysis/frames/16044/16044_beat_0046.png
16044.mp4,47,196.496,199.565,3.069,92.0,analysis/frames/16044/16044_beat_0047.png
16044.mp4,48,199.566,204.77,5.204,156.0,analysis/frames/16044/16044_beat_0048.png
16044.mp4,49,204.771,207.273,2.501,75.0,analysis/frames/16044/16044_beat_0049.png
16044.mp4,50,207.274,214.613,7.34,220.0,analysis/frames/16044/16044_beat_0050.png
16044.mp4,51,214.614,222.054,7.44,223.0,analysis/frames/16044/16044_beat_0051.png
16044.mp4,52,222.055,225.925,3.87,116.0,analysis/frames/16044/16044_beat_0052.png
16044.mp4,53,225.926,231.964,6.038,181.0,analysis/frames/16044/16044_beat_0053.png
16044.mp4,54,231.965,232.798,0.833,25.0,analysis/frames/16044/16044_beat_0054.png
16044.mp4,55,232.799,235.401,2.602,78.0,analysis/frames/16044/16044_beat_0055.png
16044.mp4,56,235.402,243.042,7.64,229.0,analysis/frames/16044/16044_beat_0056.png
16044.mp4,57,243.043,250.282,7.24,217.0,analysis/frames/16044/16044_beat_0057.png
16044.mp4,58,250.283,254.286,4.003,120.0,analysis/frames/16044/16044_beat_0058.png
16044.mp4,59,254.287,258.09,3.803,114.0,analysis/frames/16044/16044_beat_0059.png
16044.mp4,60,258.091,261.56,3.469,104.0,analysis/frames/16044/16044_beat_0060.png
16044.mp4,61,261.561,266.365,4.804,144.0,analysis/frames/16044/16044_beat_0061.png
16044.mp4,62,266.366,272.738,6.372,191.0,analysis/frames/16044/16044_beat_0062.png
16044.mp4,63,272.739,278.611,5.872,176.0,analysis/frames/16044/16044_beat_0063.png
